# Balance Sheet data for AAPL.US (quarterly)
# Data retrieved on: 2026-08-05 14:21:53

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,14687356000.0,14667688000.0,14697926000.0,14773260000.0,14856722000.0,,
Share Issued,14687356000.0,14667688000.0,14697926000.0,14773260000.0,14856722000.0,,
Net Debt,44800000000.0,39139000000.0,45192000000.0,62723000000.0,65429000000.0,,
Total Debt,84344000000.0,84711000000.0,90509000000.0,98657000000.0,101698000000.0,,
Tangible Book Value,87178000000.0,85157000000.0,88190000000.0,73733000000.0,65830000000.0,,
Invested Capital,191864000000.0,191202000000.0,178699000000.0,172390000000.0,167528000000.0,,
Working Capital,492000000.0,9473000000.0,-4263000000.0,-17674000000.0,-18629000000.0,,
Net Tangible Assets,87178000000.0,85157000000.0,88190000000.0,73733000000.0,65830000000.0,,
Common Stock Equity,107520000000.0,106491000000.0,88190000000.0,73733000000.0,65830000000.0,,
Total Capitalization,178860000000.0,180895000000.0,164875000000.0,152061000000.0,148260000000.0,,
Total Equity Gross Minority Interest,107520000000.0,106491000000.0,88190000000.0,73733000000.0,65830000000.0,,
Stockholders Equity,107520000000.0,106491000000.0,88190000000.0,73733000000.0,65830000000.0,,
Gains Losses Not Affecting Retained Earnings,-4508000000.0,-5375000000.0,-4854000000.0,-5571000000.0,-6369000000.0,,
Other Equity Adjustments,-4508000000.0,-5375000000.0,-4854000000.0,-5571000000.0,-6369000000.0,,
Retained Earnings,11326000000.0,12359000000.0,-2177000000.0,-14264000000.0,-17607000000.0,,
Capital Stock,100702000000.0,99507000000.0,95221000000.0,93568000000.0,89806000000.0,,
Common Stock,100702000000.0,99507000000.0,95221000000.0,93568000000.0,89806000000.0,,
Total Liabilities Net Minority Interest,275746000000.0,264591000000.0,291107000000.0,285508000000.0,265665000000.0,,
Total Non Current Liabilities Net Minority Interest,126420000000.0,129950000000.0,128740000000.0,119877000000.0,124545000000.0,,
Other Non Current Liabilities,55080000000.0,55546000000.0,52055000000.0,41549000000.0,42115000000.0,,
Long Term Debt And Capital Lease Obligation,71340000000.0,74404000000.0,76685000000.0,78328000000.0,82430000000.0,,
Long Term Debt,71340000000.0,74404000000.0,76685000000.0,78328000000.0,82430000000.0,,
Current Liabilities,149326000000.0,134641000000.0,162367000000.0,165631000000.0,141120000000.0,,
Other Current Liabilities,62259000000.0,57654000000.0,68543000000.0,44452000000.0,62499000000.0,,
Current Deferred Liabilities,9538000000.0,9331000000.0,9413000000.0,9055000000.0,8979000000.0,,
