# Stock data for AAPL.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:21:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,202.6,204.53,201.36,202.12,44155100,0.0,0.0
2025-08-06,204.82,214.53,204.78,212.41,108483100,0.0,0.0
2025-08-07,218.02,219.98,215.72,219.16,90224800,0.0,0.0
2025-08-08,219.96,230.09,218.38,228.44,113854000,0.0,0.0
2025-08-11,227.28,228.91,224.13,226.54,61806100,0.26,0.0
2025-08-12,227.37,230.15,226.43,229.0,55626200,0.0,0.0
2025-08-13,230.42,234.34,229.78,232.67,69878500,0.0,0.0
2025-08-14,233.4,234.46,230.2,232.12,51916300,0.0,0.0
2025-08-15,233.34,233.62,228.69,230.94,56038700,0.0,0.0
2025-08-18,231.05,232.46,229.46,230.24,37476200,0.0,0.0
2025-08-19,230.63,232.21,228.7,229.91,39402600,0.0,0.0
2025-08-20,229.33,229.82,225.13,225.37,42263900,0.0,0.0
2025-08-21,225.63,225.88,223.15,224.27,30621200,0.0,0.0
2025-08-22,225.53,228.44,224.77,227.12,42477800,0.0,0.0
2025-08-25,225.84,228.65,225.59,226.52,30983100,0.0,0.0
2025-08-26,226.23,228.84,224.06,228.66,54575100,0.0,0.0
2025-08-27,227.97,230.25,227.62,229.84,31259500,0.0,0.0
2025-08-28,230.17,232.75,228.69,231.9,38074700,0.0,0.0
2025-08-29,231.85,232.72,230.72,231.49,39418400,0.0,0.0
2025-09-02,228.6,230.2,226.33,229.07,44075600,0.0,0.0
2025-09-03,236.54,238.18,233.7,237.8,66427800,0.0,0.0
2025-09-04,237.78,239.22,236.07,239.1,47549400,0.0,0.0
2025-09-05,239.32,240.64,237.82,239.01,54870400,0.0,0.0
2025-09-08,238.62,239.47,235.67,237.21,48999500,0.0,0.0
2025-09-09,236.33,238.11,232.7,233.69,66313900,0.0,0.0
2025-09-10,231.53,231.76,225.31,226.15,83440800,0.0,0.0
2025-09-11,226.24,229.8,226.01,229.38,50208600,0.0,0.0
