# Stock data for G.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:11:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,42.13,42.3,41.1,41.75,2304700,0.0,0.0
2025-08-06,41.9,42.05,41.15,41.59,2756700,0.0,0.0
2025-08-07,41.88,41.91,40.98,41.11,3073800,0.0,0.0
2025-08-08,41.45,43.79,41.45,42.91,2940100,0.0,0.0
2025-08-11,42.97,43.45,42.55,42.62,1892200,0.0,0.0
2025-08-12,42.73,43.07,42.27,42.68,1400200,0.0,0.0
2025-08-13,42.77,43.6,42.76,43.58,1479000,0.0,0.0
2025-08-14,43.14,43.51,42.8,43.06,1556100,0.0,0.0
2025-08-15,43.03,43.38,42.89,43.02,2553300,0.0,0.0
2025-08-18,43.15,43.5,42.81,43.43,1961500,0.0,0.0
2025-08-19,43.65,44.25,43.48,44.14,1815600,0.0,0.0
2025-08-20,44.12,44.23,43.21,43.4,2568900,0.0,0.0
2025-08-21,43.14,43.9,42.98,43.87,1609300,0.0,0.0
2025-08-22,44.16,45.07,43.7,44.65,1741600,0.0,0.0
2025-08-25,44.64,44.82,44.43,44.79,1234900,0.0,0.0
2025-08-26,44.62,45.04,44.36,44.44,1169000,0.0,0.0
2025-08-27,44.38,44.82,44.21,44.75,2770200,0.0,0.0
2025-08-28,44.73,44.84,44.08,44.32,1510700,0.0,0.0
2025-08-29,44.32,44.71,44.01,44.68,1706100,0.0,0.0
2025-09-02,44.36,44.6,43.48,44.24,1495800,0.0,0.0
2025-09-03,44.45,44.63,43.86,44.54,2250800,0.0,0.0
2025-09-04,44.39,44.45,43.82,44.32,1378800,0.0,0.0
2025-09-05,44.28,44.99,43.98,44.23,1871700,0.0,0.0
2025-09-08,44.45,44.54,43.54,43.63,1500500,0.0,0.0
2025-09-09,43.41,43.68,43.05,43.05,1253400,0.0,0.0
2025-09-10,42.87,43.05,42.05,42.37,1983000,0.0,0.0
2025-09-11,42.56,43.08,42.36,42.87,2371600,0.17,0.0
2025-09-12,42.62,42.78,41.97,42.07,1532500,0.0,0.0
2025-09-15,42.04,42.34,41.63,41.66,1521100,0.0,0.0
2025-09-16,41.63,41.77,40.85,40.89,1441400,0.0,0.0
2025-09-17,40.95,41.54,40.8,41.33,1988200,0.0,0.0
2025-09-18,41.3,41.6,40.75,40.86,1277800,0.0,0.0
2025-09-19,40.82,40.99,40.44,40.67,5115400,0.0,0.0
2025-09-22,40.52,40.86,40.3,40.71,1433300,0.0,0.0
2025-09-23,40.83,41.02,40.37,40.62,1409700,0.0,0.0
2025-09-24,40.81,42.3,40.69,42.24,2900600,0.0,0.0
2025-09-25,42.08,42.29,40.9,41.35,2144300,0.0,0.0
2025-09-26,41.56,41.83,41.17,41.76,1459200,0.0,0.0
2025-09-29,41.76,42.06,41.47,41.72,1855500,0.0,0.0
2025-09-30,41.55,41.68,40.82,41.44,2448500,0.0,0.0
2025-10-01,41.28,41.62,41.14,41.39,1762900,0.0,0.0
2025-10-02,41.18,41.65,40.79,40.96,1842600,0.0,0.0
2025-10-03,40.95,41.11,40.53,40.77,1882200,0.0,0.0
2025-10-06,40.74,40.85,40.31,40.67,1510200,0.0,0.0
2025-10-07,40.71,40.92,40.15,40.27,1663100,0.0,0.0
2025-10-08,40.35,40.57,40.05,40.23,1365200,0.0,0.0
2025-10-09,40.31,40.44,39.51,39.75,1635100,0.0,0.0
2025-10-10,39.84,39.92,38.81,38.95,1372100,0.0,0.0
2025-10-13,38.99,39.46,38.61,39.1,1491500,0.0,0.0
2025-10-14,38.88,39.61,38.69,39.44,1323400,0.0,0.0
2025-10-15,39.44,39.5,38.82,39.0,1254400,0.0,0.0
2025-10-16,39.08,39.5,37.81,38.54,1658500,0.0,0.0
2025-10-17,38.46,39.13,38.46,39.02,1691500,0.0,0.0
2025-10-20,39.21,39.49,38.87,39.44,1293800,0.0,0.0
2025-10-21,39.43,40.01,39.32,39.86,1263100,0.0,0.0
2025-10-22,39.77,40.01,39.16,39.36,1961900,0.0,0.0
2025-10-23,39.2,39.54,38.82,39.36,1682300,0.0,0.0
2025-10-24,39.64,39.64,39.02,39.07,1428000,0.0,0.0
2025-10-27,39.21,39.33,38.97,39.09,950000,0.0,0.0
2025-10-28,38.93,39.22,38.73,38.79,1249000,0.0,0.0
2025-10-29,38.56,38.56,37.37,37.49,2174800,0.0,0.0
2025-10-30,37.64,37.98,37.55,37.71,2171400,0.0,0.0
2025-10-31,37.6,37.78,37.33,37.74,2495300,0.0,0.0
2025-11-03,37.76,37.86,37.09,37.71,3382100,0.0,0.0
2025-11-04,37.81,38.21,37.56,38.02,2254100,0.0,0.0
2025-11-05,38.11,38.79,38.01,38.41,2479200,0.0,0.0
2025-11-06,38.54,38.78,37.75,37.98,3494900,0.0,0.0
2025-11-07,42.63,44.81,42.63,44.02,7042700,0.0,0.0
2025-11-10,43.63,44.33,42.74,43.8,3218600,0.0,0.0
2025-11-11,43.73,44.5,43.11,44.41,2088900,0.0,0.0
2025-11-12,44.52,45.25,44.28,45.06,2231100,0.0,0.0
2025-11-13,45.21,45.36,44.49,44.57,1691700,0.0,0.0
2025-11-14,44.52,44.63,43.66,44.41,1440900,0.0,0.0
2025-11-17,44.32,44.32,43.23,43.27,2452900,0.0,0.0
2025-11-18,43.53,43.75,43.07,43.33,3239400,0.0,0.0
2025-11-19,43.23,43.74,43.15,43.45,2131300,0.0,0.0
2025-11-20,43.47,43.91,43.07,43.26,2031800,0.0,0.0
2025-11-21,43.48,44.51,43.37,43.89,2236900,0.0,0.0
2025-11-24,43.74,44.03,43.48,43.61,2202700,0.0,0.0
2025-11-25,43.8,44.73,43.8,44.16,1990100,0.0,0.0
2025-11-26,44.11,44.42,43.73,43.74,1725200,0.0,0.0
2025-11-28,43.74,44.01,43.58,43.59,847400,0.0,0.0
2025-12-01,43.56,43.96,43.38,43.72,2016000,0.0,0.0
2025-12-02,43.72,43.93,43.28,43.59,1546200,0.0,0.0
2025-12-03,43.67,44.83,43.67,44.72,1781400,0.0,0.0
2025-12-04,44.95,45.72,44.95,45.52,1946900,0.0,0.0
2025-12-05,45.4,46.15,45.25,45.88,1701600,0.0,0.0
2025-12-08,45.81,45.96,45.43,45.73,1532300,0.0,0.0
2025-12-09,45.54,45.74,44.76,45.27,2479900,0.0,0.0
2025-12-10,45.28,46.07,45.04,45.87,1929300,0.0,0.0
2025-12-11,45.95,46.87,45.93,46.86,1424000,0.0,0.0
2025-12-12,46.96,47.28,46.63,47.27,1663900,0.0,0.0
2025-12-15,47.24,47.46,46.26,46.85,2007500,0.0,0.0
2025-12-16,46.97,47.94,46.9,47.26,2732700,0.0,0.0
2025-12-17,47.2,47.6,46.86,47.44,1598400,0.0,0.0
2025-12-18,47.29,47.59,47.06,47.22,1298000,0.0,0.0
2025-12-19,47.23,47.89,47.12,47.4,2767500,0.0,0.0
2025-12-22,47.24,48.12,47.24,47.98,1312200,0.0,0.0
2025-12-23,47.9,48.11,47.56,47.62,1092500,0.0,0.0
2025-12-24,47.6,47.91,47.4,47.58,342200,0.0,0.0
2025-12-26,47.61,47.78,47.4,47.54,530100,0.0,0.0
2025-12-29,47.49,47.82,47.36,47.38,1018000,0.0,0.0
2025-12-30,47.29,47.42,46.64,46.68,827500,0.0,0.0
2025-12-31,46.56,46.81,46.27,46.28,911900,0.0,0.0
2026-01-02,46.27,46.6,45.34,45.42,1132200,0.0,0.0
2026-01-05,45.05,46.26,44.97,46.1,1419600,0.0,0.0
2026-01-06,45.86,46.96,45.77,46.85,1647300,0.0,0.0
2026-01-07,46.85,47.1,46.52,46.9,933500,0.0,0.0
2026-01-08,46.99,47.81,46.97,47.11,1334900,0.0,0.0
2026-01-09,47.41,47.9,47.08,47.73,1266200,0.0,0.0
2026-01-12,47.49,47.88,46.49,46.63,1268500,0.0,0.0
2026-01-13,46.55,46.55,45.86,46.02,1129000,0.0,0.0
2026-01-14,46.02,47.4,46.02,46.94,1607600,0.0,0.0
2026-01-15,46.91,47.0,45.69,45.73,1219100,0.0,0.0
2026-01-16,45.52,45.87,44.88,45.42,1171800,0.0,0.0
2026-01-20,44.84,45.49,44.02,44.27,1413300,0.0,0.0
2026-01-21,44.71,45.46,44.4,45.24,1607100,0.0,0.0
2026-01-22,44.89,45.8,44.89,45.7,1283500,0.0,0.0
2026-01-23,45.35,45.57,45.1,45.31,936100,0.0,0.0
2026-01-26,45.49,45.51,44.8,45.0,1080000,0.0,0.0
2026-01-27,44.98,45.3,44.22,44.79,1513000,0.0,0.0
2026-01-28,44.88,45.02,44.27,44.3,1194400,0.0,0.0
2026-01-29,44.19,44.31,43.55,44.14,1464900,0.0,0.0
2026-01-30,44.03,44.27,43.4,43.63,2618100,0.0,0.0
2026-02-02,43.69,44.29,43.44,43.66,2001200,0.0,0.0
2026-02-03,43.04,43.11,38.49,38.56,4063400,0.0,0.0
2026-02-04,38.31,39.14,37.6,37.93,4059200,0.0,0.0
2026-02-05,38.37,39.4,37.16,37.3,4797600,0.0,0.0
2026-02-06,38.58,40.09,37.61,39.96,5942800,0.0,0.0
2026-02-09,39.68,40.56,38.51,39.07,4208200,0.0,0.0
2026-02-10,39.13,39.63,38.42,38.72,2388800,0.0,0.0
2026-02-11,39.33,39.48,36.78,36.78,5159200,0.0,0.0
2026-02-12,36.94,36.94,34.42,35.92,3920700,0.0,0.0
2026-02-13,36.24,37.12,36.24,36.96,2963000,0.0,0.0
2026-02-17,37.47,37.71,36.11,37.33,2386000,0.0,0.0
2026-02-18,37.5,38.77,37.5,38.76,2726900,0.0,0.0
2026-02-19,38.3,38.88,37.97,38.45,2379300,0.0,0.0
2026-02-20,38.29,39.05,37.99,38.52,2758600,0.0,0.0
2026-02-23,38.1,38.26,37.07,37.14,2117700,0.0,0.0
2026-02-24,37.03,38.11,36.96,37.54,2858900,0.0,0.0
2026-02-25,37.6,37.65,36.64,37.41,2450600,0.0,0.0
2026-02-26,38.0,39.37,37.63,39.11,2291300,0.0,0.0
2026-02-27,38.47,39.42,38.47,39.3,3188500,0.0,0.0
2026-03-02,38.45,39.92,38.45,39.78,1936700,0.0,0.0
2026-03-03,39.04,40.15,38.82,39.93,1891200,0.0,0.0
2026-03-04,39.81,40.46,39.43,40.35,1448200,0.0,0.0
2026-03-05,40.23,41.33,40.08,41.24,1783200,0.0,0.0
2026-03-06,40.89,41.31,40.01,41.26,1559400,0.0,0.0
2026-03-09,40.92,40.92,39.9,40.43,1864100,0.0,0.0
2026-03-10,40.12,40.52,38.31,38.51,2270300,0.0,0.0
2026-03-11,38.68,38.99,38.11,38.34,2063600,0.0,0.0
2026-03-12,38.07,38.58,37.7,37.74,2219300,0.0,0.0
2026-03-13,38.27,38.56,37.55,37.89,2200900,0.0,0.0
2026-03-16,38.04,38.59,37.94,38.06,1818100,0.188,0.0
2026-03-17,38.41,39.19,38.03,38.12,2381000,0.0,0.0
2026-03-18,37.94,38.52,37.51,37.54,1888300,0.0,0.0
2026-03-19,37.82,38.78,37.51,38.09,2479300,0.0,0.0
2026-03-20,38.07,38.49,37.63,38.48,4176300,0.0,0.0
2026-03-23,38.51,39.07,37.77,38.54,2043900,0.0,0.0
2026-03-24,38.38,38.54,37.43,37.6,1689800,0.0,0.0
