# Cash Flow data for GENI.US (quarterly)
# Data retrieved on: 2026-08-05 13:38:21

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-84110000.0,69638000.0,3286000.0,-19152000.0,-48271000.0,
Repayment Of Debt,0.0,-4000.0,-6000.0,-6000.0,-5000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,0.0,144000000.0,
Capital Expenditure,-17697000.0,-19316000.0,-23918000.0,-20187000.0,-17473000.0,
Interest Paid Supplemental Data,1216000.0,1343000.0,994000.0,986000.0,644000.0,
Income Tax Paid Supplemental Data,984000.0,1603000.0,1319000.0,765000.0,919000.0,
End Cash Position,197444000.0,280559000.0,207792000.0,221561000.0,235662000.0,
Beginning Cash Position,280559000.0,207792000.0,221561000.0,235662000.0,135239000.0,
Effect Of Exchange Rate Changes,-2526000.0,3133000.0,-2239000.0,4759000.0,2201000.0,
Changes In Cash,-80589000.0,69634000.0,-11530000.0,-18860000.0,98222000.0,
Financing Cash Flow,0.0,-4000.0,-6000.0,-6000.0,143995000.0,
Cash Flow From Continuing Financing Activities,0.0,-4000.0,-6000.0,-6000.0,143995000.0,
Proceeds From Stock Option Exercised,,,,,,0.0
Net Common Stock Issuance,0.0,0.0,0.0,0.0,144000000.0,
Common Stock Issuance,0.0,0.0,0.0,0.0,144000000.0,
Net Issuance Payments Of Debt,0.0,-4000.0,-6000.0,-6000.0,-5000.0,
Net Short Term Debt Issuance,,,,-11000.0,0.0,
Short Term Debt Payments,,,,-11000.0,0.0,
Net Long Term Debt Issuance,0.0,-4000.0,,,-5000.0,7569000.0
Long Term Debt Payments,0.0,-4000.0,,,-5000.0,7569000.0
Investing Cash Flow,-14176000.0,-19316000.0,-38728000.0,-19889000.0,-14975000.0,
Cash Flow From Continuing Investing Activities,-14176000.0,-19316000.0,-38728000.0,-19889000.0,-14975000.0,
Net Other Investing Changes,,0.0,31000.0,,,0.0
Dividends Received Cfi,3521000.0,0.0,0.0,289000.0,2498000.0,
Net Business Purchase And Sale,,0.0,,,,
Purchase Of Business,,0.0,,,,
Net Intangibles Purchase And Sale,-84000.0,-817000.0,-810000.0,-449000.0,0.0,
Purchase Of Intangibles,-84000.0,-817000.0,-810000.0,-449000.0,0.0,
Net PPE Purchase And Sale,-5338000.0,-6198000.0,-7256000.0,-4273000.0,-4124000.0,
Purchase Of PPE,-5338000.0,-6198000.0,-7256000.0,-4273000.0,-4124000.0,
Capital Expenditure Reported,-12275000.0,-12301000.0,-15852000.0,-15465000.0,-13349000.0,
Operating Cash Flow,-66413000.0,88954000.0,27204000.0,1035000.0,-30798000.0,
Cash Flow From Continuing Operating Activities,-66413000.0,88954000.0,27204000.0,1035000.0,-30798000.0,
Change In Working Capital,-52254000.0,68767000.0,5826000.0,-18601000.0,-40489000.0,
Change In Other Working Capital,-27715000.0,-1680000.0,33739000.0,2446000.0,-15193000.0,
Change In Other Current Liabilities,-9994000.0,-1501000.0,2351000.0,5175000.0,-7346000.0,
Change In Other Current Assets,2687000.0,587000.0,-4827000.0,-1553000.0,-1680000.0,
Change In Payables And Accrued Expense,-59368000.0,82747000.0,45742000.0,-12500000.0,-9059000.0,
Change In Accrued Expense,-8372000.0,30421000.0,15942000.0,-2657000.0,-12361000.0,
Change In Payable,-50996000.0,52326000.0,29800000.0,-9843000.0,3302000.0,
Change In Account Payable,-50996000.0,52326000.0,29800000.0,-9843000.0,3302000.0,
Change In Prepaid Assets,16848000.0,-9577000.0,-11235000.0,-113000.0,-9998000.0,
Change In Receivables,25288000.0,-1809000.0,-59944000.0,-12056000.0,2787000.0,
Changes In Account Receivables,21369000.0,1833000.0,-47698000.0,-2233000.0,3802000.0,
Other Non Cash Items,-12325000.0,1237000.0,1503000.0,1617000.0,1201000.0,
Stock Based Compensation,21258000.0,25522000.0,25344000.0,84841000.0,12835000.0,
Provisionand Write Offof Assets,747000.0,1633000.0,102000.0,78000.0,95000.0,
Asset Impairment Charge,1735000.0,,,,0.0,
Deferred Tax,-452000.0,-4706000.0,-1495000.0,-693000.0,-174000.0,
Deferred Income Tax,-452000.0,-4706000.0,-1495000.0,-693000.0,-174000.0,
Depreciation Amortization Depletion,20980000.0,20084000.0,18761000.0,15278000.0,16396000.0,
Depreciation And Amortization,20980000.0,20084000.0,18761000.0,15278000.0,16396000.0,
Operating Gains Losses,9368000.0,-2962000.0,5977000.0,-27537000.0,-12464000.0,
Earnings Losses From Equity Investments,-43000.0,-802000.0,-1817000.0,-944000.0,-94000.0,
Net Foreign Currency Exchange Gain Loss,9338000.0,-2153000.0,7833000.0,-26594000.0,-12382000.0,
Net Income From Continuing Operations,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
