# Income Statement data for GENI.US (quarterly)
# Data retrieved on: 2026-08-05 13:38:22

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-29060.038131,-245718.338485,-791651.085092,5236980.0,2416050.0,
Tax Rate For Calcs,0.001529,0.092899,0.078018,0.21,0.21,
Normalized EBITDA,-14682000.0,2618000.0,5970000.0,-88298000.0,-14801000.0,
Total Unusual Items,-19008000.0,-2645000.0,-10147000.0,24938000.0,11505000.0,
Total Unusual Items Excluding Goodwill,-19008000.0,-2645000.0,-10147000.0,24938000.0,11505000.0,
Net Income From Continuing Operation Net Minority Interest,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Reconciled Depreciation,20980000.0,20084000.0,18761000.0,15278000.0,16396000.0,
Reconciled Cost Of Revenue,144628000.0,172063000.0,124963000.0,109832000.0,108789000.0,
EBITDA,-33690000.0,-27000.0,-4177000.0,-63360000.0,-3296000.0,
EBIT,-54670000.0,-20111000.0,-22938000.0,-78638000.0,-19692000.0,
Net Interest Income,-928000.0,-861000.0,-138000.0,556000.0,437000.0,
Interest Expense,928000.0,,,,,
Interest Income,,,,,437000.0,
Normalized Income,-36491060.038131,-18221718.338485,-19458651.085092,-73649020.0,-17286950.0,
Net Income From Continuing And Discontinued Operation,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Total Expenses,223614000.0,260607000.0,189221000.0,197357000.0,163683000.0,
Total Operating Income As Reported,-43165000.0,-24608000.0,-25605000.0,-80691000.0,-20424000.0,
Diluted Average Shares,269373708.0,259563131.0,257661292.0,253220241.0,248432320.0,
Basic Average Shares,269373708.0,259563131.0,257661292.0,253220241.0,248432320.0,
Diluted EPS,-0.21,-0.08,-0.11,-0.21,-0.03,
Basic EPS,-0.21,-0.08,-0.11,-0.21,-0.03,
Diluted NI Availto Com Stockholders,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Net Income Common Stockholders,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Net Income,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Net Income Including Noncontrolling Interests,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Net Income Continuous Operations,-55470000.0,-20621000.0,-28814000.0,-53948000.0,-8198000.0,
Earnings From Equity Interest Net Of Tax,43000.0,802000.0,1817000.0,944000.0,94000.0,
Tax Provision,-85000.0,-2194000.0,-2592000.0,1748000.0,542000.0,
Pretax Income,-55598000.0,-23617000.0,-33223000.0,-53144000.0,-7750000.0,
Other Income Expense,-19008000.0,-2645000.0,-10147000.0,24938000.0,11505000.0,
Special Income Charges,-9311000.0,-4490000.0,-2628000.0,-2054000.0,-744000.0,
Gain On Sale Of Ppe,-73000.0,7000.0,39000.0,-1000.0,-12000.0,
Write Off,1735000.0,,,,0.0,
Restructuring And Mergern Acquisition,7503000.0,4497000.0,2667000.0,2053000.0,732000.0,
Gain On Sale Of Security,-9697000.0,1845000.0,-7519000.0,26992000.0,12249000.0,
Net Non Operating Interest Income Expense,-928000.0,-861000.0,-138000.0,556000.0,437000.0,
Total Other Finance Cost,,861000.0,138000.0,-556000.0,,80000.0
Interest Expense Non Operating,928000.0,,,,,
Interest Income Non Operating,,,,,437000.0,
Operating Income,-35662000.0,-20111000.0,-22938000.0,-78638000.0,-19692000.0,
Operating Expense,78986000.0,88544000.0,64258000.0,87525000.0,54894000.0,
Research And Development,11402000.0,8472000.0,4943000.0,8726000.0,8946000.0,
Selling General And Administration,67584000.0,80072000.0,59315000.0,78799000.0,45948000.0,
Selling And Marketing Expense,13669000.0,16805000.0,13645000.0,14299000.0,11413000.0,
General And Administrative Expense,53915000.0,63267000.0,45670000.0,64500000.0,34535000.0,
Other Gand A,53915000.0,63267000.0,45670000.0,64500000.0,34535000.0,
Gross Profit,43324000.0,68433000.0,41320000.0,8887000.0,35202000.0,
Cost Of Revenue,144628000.0,172063000.0,124963000.0,109832000.0,108789000.0,
Total Revenue,187952000.0,240496000.0,166283000.0,118719000.0,143991000.0,
Operating Revenue,187952000.0,240496000.0,166283000.0,118719000.0,143991000.0,
