# Stock data for GENI.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 13:38:20

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,12.13,12.36,11.71,12.22,9928400,0.0,0.0
2025-08-06,12.45,12.45,11.24,11.67,13141800,0.0,0.0
2025-08-07,11.93,12.31,11.69,11.96,6733000,0.0,0.0
2025-08-08,12.0,12.39,11.81,12.39,5843700,0.0,0.0
2025-08-11,12.4,12.74,12.25,12.52,6168700,0.0,0.0
2025-08-12,12.85,12.93,12.43,12.74,3749900,0.0,0.0
2025-08-13,12.85,12.94,12.42,12.93,6372400,0.0,0.0
2025-08-14,12.58,12.98,12.56,12.91,4454000,0.0,0.0
2025-08-15,12.97,13.09,12.72,12.91,5235700,0.0,0.0
2025-08-18,12.89,13.1,12.85,12.93,4821600,0.0,0.0
2025-08-19,12.91,12.97,12.55,12.62,6451800,0.0,0.0
2025-08-20,12.56,12.68,12.31,12.64,4593800,0.0,0.0
2025-08-21,12.66,12.85,12.58,12.65,3589100,0.0,0.0
2025-08-22,12.65,12.89,12.27,12.88,6485200,0.0,0.0
2025-08-25,12.88,13.06,12.83,12.93,3196300,0.0,0.0
2025-08-26,13.0,13.24,12.98,13.04,2882900,0.0,0.0
2025-08-27,13.0,13.09,12.7,12.82,4244300,0.0,0.0
2025-08-28,12.75,13.1,12.73,12.83,4295400,0.0,0.0
2025-08-29,12.81,12.82,12.63,12.79,2176100,0.0,0.0
2025-09-02,12.52,12.87,12.31,12.62,2333600,0.0,0.0
2025-09-03,12.97,13.6,12.92,13.06,6503300,0.0,0.0
2025-09-04,13.06,13.59,13.06,13.55,6617900,0.0,0.0
2025-09-05,13.63,13.73,13.21,13.5,4208200,0.0,0.0
2025-09-08,13.53,13.6,12.7,12.77,8723400,0.0,0.0
2025-09-09,12.8,12.93,12.58,12.82,5642900,0.0,0.0
2025-09-10,12.8,12.84,12.52,12.56,7224800,0.0,0.0
2025-09-11,12.56,12.76,12.5,12.61,4821700,0.0,0.0
2025-09-12,12.6,12.6,12.39,12.48,2769100,0.0,0.0
2025-09-15,12.58,12.61,12.4,12.47,3571600,0.0,0.0
2025-09-16,12.35,12.41,12.09,12.27,3633100,0.0,0.0
2025-09-17,12.29,12.36,12.08,12.28,5251800,0.0,0.0
2025-09-18,12.26,12.62,12.23,12.58,5158500,0.0,0.0
2025-09-19,12.6,12.8,12.49,12.79,4686600,0.0,0.0
2025-09-22,12.75,12.88,12.56,12.85,3315200,0.0,0.0
2025-09-23,12.84,13.69,12.75,13.17,5069200,0.0,0.0
2025-09-24,13.2,13.24,12.84,13.11,3671200,0.0,0.0
2025-09-25,12.84,12.94,12.45,12.75,4434200,0.0,0.0
2025-09-26,12.83,12.83,12.64,12.75,1611300,0.0,0.0
2025-09-29,12.94,13.52,12.77,13.43,6774400,0.0,0.0
2025-09-30,13.43,13.5,12.09,12.38,10376500,0.0,0.0
2025-10-01,12.34,12.69,12.07,12.08,5591300,0.0,0.0
2025-10-02,12.04,12.07,11.76,11.94,7508800,0.0,0.0
2025-10-03,11.9,12.2,11.89,11.95,5192200,0.0,0.0
2025-10-06,12.0,12.02,11.59,11.79,4689200,0.0,0.0
2025-10-07,11.75,11.8,11.28,11.53,6850100,0.0,0.0
2025-10-08,11.62,12.05,11.36,11.83,5125500,0.0,0.0
2025-10-09,11.71,12.06,11.71,12.01,3500200,0.0,0.0
2025-10-10,12.03,12.03,11.44,11.49,6309200,0.0,0.0
2025-10-13,11.54,11.78,11.52,11.57,3247600,0.0,0.0
2025-10-14,11.45,11.93,11.33,11.72,3177600,0.0,0.0
2025-10-15,11.74,12.25,11.74,12.24,5770100,0.0,0.0
2025-10-16,12.33,12.39,11.91,11.95,3102700,0.0,0.0
2025-10-17,11.87,11.96,11.55,11.93,6993700,0.0,0.0
2025-10-20,11.94,12.1,11.59,11.78,3066800,0.0,0.0
2025-10-21,11.76,12.02,11.69,11.87,3102300,0.0,0.0
2025-10-22,11.87,12.06,11.66,11.82,3336300,0.0,0.0
2025-10-23,11.88,12.12,11.87,12.0,3843800,0.0,0.0
2025-10-24,12.15,12.16,11.9,12.03,3705400,0.0,0.0
2025-10-27,12.13,12.13,11.82,12.02,4108500,0.0,0.0
2025-10-28,12.02,12.06,11.69,11.82,10554600,0.0,0.0
2025-10-29,11.8,11.98,11.65,11.73,6793500,0.0,0.0
2025-10-30,11.72,11.77,11.12,11.2,5336500,0.0,0.0
2025-10-31,11.25,11.34,11.05,11.26,5251300,0.0,0.0
2025-11-03,11.3,11.32,10.81,11.07,6099800,0.0,0.0
2025-11-04,11.01,11.52,10.52,11.25,8689100,0.0,0.0
2025-11-05,11.1,11.36,10.94,11.01,6286900,0.0,0.0
2025-11-06,11.02,11.1,10.18,10.21,8616400,0.0,0.0
2025-11-07,10.1,10.3,9.91,10.23,6577600,0.0,0.0
2025-11-10,10.34,10.48,10.29,10.4,4117700,0.0,0.0
2025-11-11,10.39,10.41,10.26,10.32,2579900,0.0,0.0
2025-11-12,10.38,10.51,10.23,10.3,5553200,0.0,0.0
2025-11-13,10.17,10.35,9.81,9.87,4986900,0.0,0.0
2025-11-14,9.7,9.9,9.59,9.65,8816400,0.0,0.0
2025-11-17,9.66,9.76,9.39,9.47,5123300,0.0,0.0
2025-11-18,9.19,9.44,8.93,9.03,10195300,0.0,0.0
2025-11-19,9.07,9.15,8.76,8.76,8491200,0.0,0.0
2025-11-20,8.94,9.29,8.68,8.7,13987900,0.0,0.0
2025-11-21,8.84,9.3,8.59,9.09,7824100,0.0,0.0
2025-11-24,9.01,9.45,8.94,9.14,6424000,0.0,0.0
2025-11-25,9.22,9.99,9.19,9.9,8025000,0.0,0.0
2025-11-26,9.81,10.07,9.77,9.86,3918700,0.0,0.0
2025-11-28,9.87,10.2,9.85,10.07,3343400,0.0,0.0
2025-12-01,9.85,10.24,9.82,10.22,5294100,0.0,0.0
2025-12-02,10.23,10.42,10.09,10.11,6160900,0.0,0.0
2025-12-03,10.71,11.57,10.63,11.32,17977200,0.0,0.0
2025-12-04,11.56,11.56,10.87,11.23,7736100,0.0,0.0
2025-12-05,11.24,11.39,10.78,10.83,4472800,0.0,0.0
2025-12-08,10.9,11.02,10.65,10.69,3995900,0.0,0.0
2025-12-09,10.71,10.84,10.52,10.75,4093300,0.0,0.0
2025-12-10,10.75,10.8,10.65,10.66,2707200,0.0,0.0
2025-12-11,10.68,11.12,10.68,11.06,4169600,0.0,0.0
2025-12-12,11.05,11.23,10.93,10.96,4196100,0.0,0.0
2025-12-15,11.0,11.0,10.56,10.66,3518000,0.0,0.0
2025-12-16,10.68,10.72,10.54,10.66,2693300,0.0,0.0
2025-12-17,10.63,10.97,10.62,10.68,2855000,0.0,0.0
2025-12-18,10.85,11.05,10.69,10.78,2656600,0.0,0.0
2025-12-19,10.8,11.0,10.7,10.8,3678000,0.0,0.0
2025-12-22,10.78,11.02,10.78,10.82,2960400,0.0,0.0
2025-12-23,10.77,10.85,10.59,10.82,2790400,0.0,0.0
2025-12-24,10.86,10.95,10.67,10.77,1044900,0.0,0.0
2025-12-26,10.81,10.95,10.77,10.88,1624100,0.0,0.0
2025-12-29,10.84,10.97,10.77,10.94,6384000,0.0,0.0
2025-12-30,11.0,11.47,10.94,11.37,4283700,0.0,0.0
2025-12-31,11.35,11.36,10.96,11.02,2997200,0.0,0.0
2026-01-02,11.1,11.1,10.65,10.78,2475900,0.0,0.0
2026-01-05,10.83,11.28,10.7,11.26,3600100,0.0,0.0
2026-01-06,11.23,11.23,10.55,10.56,4380000,0.0,0.0
2026-01-07,10.63,10.7,10.12,10.36,3702400,0.0,0.0
2026-01-08,10.3,10.6,10.26,10.54,3306600,0.0,0.0
2026-01-09,11.02,11.23,10.41,10.7,7332900,0.0,0.0
2026-01-12,10.65,10.65,10.14,10.23,4318700,0.0,0.0
2026-01-13,10.26,10.33,9.93,10.19,3263800,0.0,0.0
2026-01-14,10.15,10.18,9.77,9.9,5485800,0.0,0.0
2026-01-15,10.0,10.43,9.88,10.31,4789200,0.0,0.0
2026-01-16,10.22,10.27,9.83,9.89,4586000,0.0,0.0
2026-01-20,9.69,9.95,9.69,9.72,3869300,0.0,0.0
2026-01-21,9.82,9.89,9.69,9.73,4111700,0.0,0.0
2026-01-22,9.7,9.97,9.5,9.58,5291800,0.0,0.0
2026-01-23,9.67,9.72,9.52,9.67,4532400,0.0,0.0
2026-01-26,9.7,9.81,9.39,9.55,4872300,0.0,0.0
2026-01-27,9.53,9.6,9.35,9.51,3484100,0.0,0.0
2026-01-28,9.61,9.75,9.3,9.3,3364400,0.0,0.0
2026-01-29,9.28,9.39,9.17,9.25,3577900,0.0,0.0
2026-01-30,9.2,9.32,8.64,8.7,5390200,0.0,0.0
2026-02-02,8.8,8.81,8.35,8.39,5679200,0.0,0.0
2026-02-03,8.38,8.5,8.13,8.22,6244200,0.0,0.0
2026-02-04,8.23,8.62,8.01,8.54,8831100,0.0,0.0
2026-02-05,8.51,8.7,6.0,6.19,38188100,0.0,0.0
2026-02-06,6.32,6.5,6.02,6.09,22559800,0.0,0.0
2026-02-09,6.2,6.45,6.05,6.34,13174200,0.0,0.0
2026-02-10,6.42,6.67,6.2,6.26,7556800,0.0,0.0
2026-02-11,6.26,6.36,6.03,6.15,8420700,0.0,0.0
2026-02-12,6.24,6.27,5.91,6.04,8165200,0.0,0.0
2026-02-13,6.13,6.33,5.76,5.79,6980200,0.0,0.0
2026-02-17,5.83,5.89,5.74,5.79,7178300,0.0,0.0
2026-02-18,5.7,6.39,5.7,6.28,10987500,0.0,0.0
2026-02-19,6.15,6.43,6.05,6.41,4305500,0.0,0.0
2026-02-20,6.35,6.45,6.1,6.11,3141200,0.0,0.0
2026-02-23,6.09,6.13,5.71,5.73,5009200,0.0,0.0
2026-02-24,5.76,5.99,5.68,5.84,3602100,0.0,0.0
2026-02-25,5.9,5.99,5.7,5.92,2573300,0.0,0.0
2026-02-26,6.0,6.45,5.92,6.39,5119200,0.0,0.0
2026-02-27,6.11,6.35,6.06,6.21,3482900,0.0,0.0
2026-03-02,6.02,6.44,5.97,6.37,4879500,0.0,0.0
2026-03-03,6.19,6.64,5.98,6.47,7975100,0.0,0.0
2026-03-04,6.59,6.75,6.01,6.04,12142300,0.0,0.0
2026-03-05,5.85,6.12,5.6,5.86,10421600,0.0,0.0
2026-03-06,5.8,5.84,5.36,5.39,6151200,0.0,0.0
2026-03-09,5.27,5.52,5.11,5.39,7498500,0.0,0.0
2026-03-10,5.38,5.39,5.14,5.18,6129900,0.0,0.0
2026-03-11,5.19,5.31,4.96,5.21,6505500,0.0,0.0
2026-03-12,5.15,5.41,5.03,5.17,7862900,0.0,0.0
2026-03-13,5.38,5.53,5.15,5.33,9234100,0.0,0.0
2026-03-16,5.27,5.49,5.17,5.2,6309100,0.0,0.0
2026-03-17,5.28,5.37,4.98,4.99,7430300,0.0,0.0
2026-03-18,4.96,5.0,4.76,4.77,7585300,0.0,0.0
2026-03-19,4.75,4.83,4.64,4.7,6558100,0.0,0.0
2026-03-20,4.77,4.8,4.51,4.53,5983200,0.0,0.0
2026-03-23,4.64,4.77,4.52,4.7,4843800,0.0,0.0
2026-03-24,4.63,4.72,4.46,4.54,6476200,0.0,0.0
2026-03-25,4.61,4.7,4.43,4.6,7857100,0.0,0.0
2026-03-26,4.57,4.68,4.39,4.41,5288800,0.0,0.0
2026-03-27,4.35,4.38,4.2,4.33,4893500,0.0,0.0
