# Balance Sheet data for MSFT.US (quarterly)
# Data retrieved on: 2026-08-05 14:22:20

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,7428434704.0,7429000000.0,7428838066.0,7433087554.0,7434158655.0,,
Share Issued,7428434704.0,7429000000.0,7428838066.0,7433087554.0,7434158655.0,,
Net Debt,19359000000.0,8157000000.0,15966000000.0,14359000000.0,12909000000.0,,
Total Debt,56826000000.0,56965000000.0,57607000000.0,60556000000.0,60588000000.0,,
Tangible Book Value,304127000000.0,275381000000.0,250964000000.0,222343000000.0,201366000000.0,,
Invested Capital,482681000000.0,454629000000.0,431137000000.0,406284000000.0,386630000000.0,,
Working Capital,38885000000.0,38668000000.0,50185000000.0,54070000000.0,49913000000.0,,
Net Tangible Assets,304127000000.0,275381000000.0,250964000000.0,222343000000.0,201366000000.0,,
Capital Lease Obligations,16532000000.0,16703000000.0,17345000000.0,17348000000.0,17437000000.0,,
Common Stock Equity,442387000000.0,414367000000.0,390875000000.0,363076000000.0,343479000000.0,,
Total Capitalization,473454000000.0,445790000000.0,426300000000.0,398452000000.0,383631000000.0,,
Total Equity Gross Minority Interest,442387000000.0,414367000000.0,390875000000.0,363076000000.0,343479000000.0,,
Stockholders Equity,442387000000.0,414367000000.0,390875000000.0,363076000000.0,343479000000.0,,
Gains Losses Not Affecting Retained Earnings,-3284000000.0,-3228000000.0,-2702000000.0,-2761000000.0,-3347000000.0,,
Other Equity Adjustments,-3284000000.0,-3228000000.0,-2702000000.0,-2761000000.0,-3347000000.0,,
Retained Earnings,328265000000.0,302526000000.0,280789000000.0,254873000000.0,237731000000.0,,
Capital Stock,117406000000.0,115069000000.0,112788000000.0,110964000000.0,109095000000.0,,
Common Stock,117406000000.0,115069000000.0,112788000000.0,110964000000.0,109095000000.0,,
Total Liabilities Net Minority Interest,315989000000.0,279861000000.0,274427000000.0,273275000000.0,275524000000.0,,
Total Non Current Liabilities Net Minority Interest,147164000000.0,143200000000.0,144422000000.0,138279000000.0,134306000000.0,,
Other Non Current Liabilities,65117000000.0,61481000000.0,58852000000.0,53588000000.0,45186000000.0,,
