# Cash Flow data for MSFT.US (quarterly)
# Data retrieved on: 2026-08-05 14:22:20

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,19639000000.0,15803000000.0,5882000000.0,25663000000.0,25568000000.0,,
Repurchase Of Capital Stock,-4579000000.0,-4627000000.0,-7415000000.0,-5650000000.0,-4546000000.0,,
Repayment Of Debt,0.0,0.0,-3000000000.0,0.0,0.0,,
Issuance Of Debt,,,,,0.0,0.0,0.0
Issuance Of Capital Stock,520000000.0,541000000.0,259000000.0,689000000.0,548000000.0,,
Capital Expenditure,-35802000000.0,-30876000000.0,-29876000000.0,-19394000000.0,-17079000000.0,,
End Cash Position,20935000000.0,32105000000.0,24296000000.0,28849000000.0,30242000000.0,,
Beginning Cash Position,32105000000.0,24296000000.0,28849000000.0,30242000000.0,28828000000.0,,
Effect Of Exchange Rate Changes,-1000000.0,-114000000.0,11000000.0,-92000000.0,183000000.0,,
Changes In Cash,-11169000000.0,7923000000.0,-4564000000.0,-1301000000.0,1231000000.0,,
Financing Cash Flow,-11779000000.0,-11351000000.0,-17617000000.0,-11799000000.0,-10844000000.0,,
Cash Flow From Continuing Financing Activities,-11779000000.0,-11351000000.0,-17617000000.0,-11799000000.0,-10844000000.0,,
Net Other Financing Charges,-962000000.0,-509000000.0,-699000000.0,-669000000.0,-677000000.0,,
Cash Dividends Paid,-6758000000.0,-6756000000.0,-6762000000.0,-6169000000.0,-6169000000.0,,
Common Stock Dividend Paid,-6758000000.0,-6756000000.0,-6762000000.0,-6169000000.0,-6169000000.0,,
Net Common Stock Issuance,-4059000000.0,-4086000000.0,-7156000000.0,-4961000000.0,-3998000000.0,,
Common Stock Payments,-4579000000.0,-4627000000.0,-7415000000.0,-5650000000.0,-4546000000.0,,
Common Stock Issuance,520000000.0,541000000.0,259000000.0,689000000.0,548000000.0,,
Net Issuance Payments Of Debt,0.0,0.0,-3000000000.0,0.0,0.0,,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Short Term Debt Payments,,,0.0,,,,0.0
Net Long Term Debt Issuance,0.0,0.0,-3000000000.0,0.0,0.0,,
Long Term Debt Payments,0.0,0.0,-3000000000.0,0.0,0.0,,
Long Term Debt Issuance,,,,,0.0,0.0,0.0
Investing Cash Flow,-54831000000.0,-27405000000.0,-22705000000.0,-34559000000.0,-30572000000.0,,
Cash Flow From Continuing Investing Activities,-54831000000.0,-27405000000.0,-22705000000.0,-34559000000.0,-30572000000.0,,
Net Other Investing Changes,-10416000000.0,-2599000000.0,-637000000.0,-6209000000.0,2642000000.0,,
Net Investment Purchase And Sale,-8161000000.0,6328000000.0,8263000000.0,-8378000000.0,-14392000000.0,,
Sale Of Investment,10668000000.0,18334000000.0,18108000000.0,9293000000.0,7239000000.0,,
