# Income Statement data for MSFT.US (quarterly)
# Data retrieved on: 2026-08-05 14:22:20

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,551414920.425909,281390000.0,65200000.0,187150000.0,495125.091979
Tax Rate For Calcs,0.188004,0.19,0.2,0.19,0.165042
Normalized EBITDA,52975000000.0,48804000000.0,57854000000.0,47075000000.0,44431000000.0
Total Unusual Items,2933000000.0,1481000000.0,326000000.0,985000000.0,3000000.0
Total Unusual Items Excluding Goodwill,2933000000.0,1481000000.0,326000000.0,985000000.0,3000000.0
Net Income From Continuing Operation Net Minority Interest,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Reconciled Depreciation,11022000000.0,10167000000.0,9198000000.0,13061000000.0,11203000000.0
Reconciled Cost Of Revenue,29525000000.0,26828000000.0,25978000000.0,24043000000.0,24014000000.0
EBITDA,55908000000.0,50285000000.0,58180000000.0,48060000000.0,44434000000.0
EBIT,44886000000.0,40118000000.0,48982000000.0,34999000000.0,33231000000.0
Net Interest Income,-84000000.0,-48000000.0,104000000.0,278000000.0,154000000.0
Interest Expense,839000000.0,778000000.0,736000000.0,698000000.0,615000000.0
Interest Income,755000000.0,730000000.0,840000000.0,976000000.0,769000000.0
Normalized Income,33384414920.425907,30578390000.0,38197200000.0,26949150000.0,27230495125.09198
Net Income From Continuing And Discontinued Operation,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Total Expenses,49404000000.0,44488000000.0,42998000000.0,39712000000.0,42118000000.0
Total Operating Income As Reported,40603000000.0,38398000000.0,38275000000.0,37961000000.0,34323000000.0
Diluted Average Shares,7443000000.0,7445000000.0,7460000000.0,7466000000.0,7461000000.0
Basic Average Shares,7427000000.0,7426000000.0,7431000000.0,7433000000.0,7432000000.0
Diluted EPS,4.81,4.27,5.16,3.72,3.65
Basic EPS,4.82,4.28,5.18,3.73,3.66
Diluted NI Availto Com Stockholders,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Net Income Common Stockholders,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Net Income,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Net Income Including Noncontrolling Interests,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Net Income Continuous Operations,35766000000.0,31778000000.0,38458000000.0,27747000000.0,27233000000.0
Tax Provision,8281000000.0,7562000000.0,9788000000.0,6554000000.0,5383000000.0
Pretax Income,44047000000.0,39340000000.0,48246000000.0,34301000000.0,32616000000.0
Other Income Expense,3528000000.0,990000000.0,9867000000.0,-3938000000.0,-1861000000.0
Other Non Operating Income Expenses,595000000.0,-491000000.0,9541000000.0,-4923000000.0,-1864000000.0
Special Income Charges,-68000000.0,-37000000.0,-59000000.0,-14000000.0,-45000000.0
Write Off,68000000.0,37000000.0,59000000.0,14000000.0,45000000.0
Gain On Sale Of Security,3001000000.0,1518000000.0,385000000.0,999000000.0,48000000.0
Net Non Operating Interest Income Expense,-84000000.0,-48000000.0,104000000.0,278000000.0,154000000.0
Interest Expense Non Operating,839000000.0,778000000.0,736000000.0,698000000.0,615000000.0
Interest Income Non Operating,755000000.0,730000000.0,840000000.0,976000000.0,769000000.0
Operating Income,40603000000.0,38398000000.0,38275000000.0,37961000000.0,34323000000.0
Operating Expense,19879000000.0,17660000000.0,17020000000.0,15669000000.0,18104000000.0
Research And Development,9997000000.0,8915000000.0,8504000000.0,8146000000.0,8829000000.0
Selling General And Administration,9882000000.0,8745000000.0,8516000000.0,7523000000.0,9275000000.0
Selling And Marketing Expense,7595000000.0,6814000000.0,6584000000.0,5717000000.0,7285000000.0
General And Administrative Expense,2287000000.0,1931000000.0,1932000000.0,1806000000.0,1990000000.0
Other Gand A,2287000000.0,1931000000.0,1932000000.0,1806000000.0,1990000000.0
Gross Profit,60482000000.0,56058000000.0,55295000000.0,53630000000.0,52427000000.0
Cost Of Revenue,29525000000.0,26828000000.0,25978000000.0,24043000000.0,24014000000.0
Total Revenue,90007000000.0,82886000000.0,81273000000.0,77673000000.0,76441000000.0
Operating Revenue,90007000000.0,82886000000.0,81273000000.0,77673000000.0,76441000000.0
