# Stock data for MSFT.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:22:16

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,532.92,533.04,523.06,523.57,19171600,0.0,0.0
2025-08-06,526.69,527.49,519.88,520.78,21355700,0.0,0.0
2025-08-07,522.63,523.91,513.45,516.71,16079100,0.0,0.0
2025-08-08,518.46,520.5,515.29,517.9,15531000,0.0,0.0
2025-08-11,518.16,523.41,515.6,517.64,20194400,0.0,0.0
2025-08-12,519.6,526.77,518.56,525.05,18667000,0.0,0.0
2025-08-13,527.89,528.48,515.25,516.45,19619200,0.0,0.0
2025-08-14,518.42,521.78,516.02,518.34,20269100,0.0,0.0
2025-08-15,518.63,521.93,514.97,516.05,25213300,0.0,0.0
2025-08-18,517.46,518.68,509.95,513.0,23760600,0.0,0.0
2025-08-19,510.92,511.08,504.52,505.73,21481000,0.0,0.0
2025-08-20,505.83,506.95,500.44,501.71,27723000,0.0,0.0
2025-08-21,500.52,504.44,499.56,501.07,18443300,0.83,0.0
2025-08-22,501.08,507.52,499.25,504.04,24324200,0.0,0.0
2025-08-25,503.44,504.99,500.95,501.09,21638600,0.0,0.0
2025-08-26,501.19,501.8,495.37,498.88,30835700,0.0,0.0
2025-08-27,498.84,504.1,496.75,503.55,17277900,0.0,0.0
2025-08-28,503.9,507.87,502.32,506.43,18015600,0.0,0.0
2025-08-29,505.46,506.39,501.32,503.5,20961600,0.0,0.0
2025-09-02,497.32,502.82,493.68,501.94,18128000,0.0,0.0
2025-09-03,500.62,504.59,499.16,502.17,16345100,0.0,0.0
2025-09-04,501.13,504.95,499.98,504.77,15509500,0.0,0.0
2025-09-05,505.87,508.75,489.27,491.88,31994800,0.0,0.0
2025-09-08,494.98,498.05,491.91,495.06,16771000,0.0,0.0
2025-09-09,498.27,499.09,494.57,495.27,14410500,0.0,0.0
2025-09-10,499.81,500.06,493.59,497.22,21611800,0.0,0.0
2025-09-11,499.09,500.0,494.75,497.86,18881600,0.0,0.0
2025-09-12,503.46,509.32,500.68,506.69,23624900,0.0,0.0
2025-09-15,505.59,512.23,503.81,512.12,17143800,0.0,0.0
2025-09-16,513.63,513.97,505.4,505.84,19711900,0.0,0.0
2025-09-17,507.41,508.07,502.75,506.81,15816600,0.0,0.0
2025-09-18,508.27,509.84,504.47,505.25,18913700,0.0,0.0
2025-09-19,507.35,516.03,507.1,514.67,52474100,0.0,0.0
2025-09-22,512.35,514.48,509.31,511.21,20009300,0.0,0.0
2025-09-23,510.57,511.35,504.12,506.03,19799600,0.0,0.0
2025-09-24,507.17,509.25,503.73,506.94,13533700,0.0,0.0
2025-09-25,505.1,506.8,501.86,503.84,15786500,0.0,0.0
2025-09-26,506.85,510.71,503.43,508.24,16213100,0.0,0.0
2025-09-29,508.28,513.6,505.68,511.36,17617800,0.0,0.0
2025-09-30,510.01,514.9,506.45,514.69,19728200,0.0,0.0
2025-10-01,511.56,517.23,508.47,516.44,22632300,0.0,0.0
2025-10-02,514.38,518.32,507.47,512.49,21222900,0.0,0.0
2025-10-03,513.85,517.21,511.76,514.09,15112300,0.0,0.0
2025-10-06,515.35,527.69,514.94,525.24,21388600,0.0,0.0
2025-10-07,524.97,526.47,518.16,520.68,14615200,0.0,0.0
2025-10-08,519.99,523.63,519.8,521.55,13363400,0.0,0.0
2025-10-09,519.05,521.03,514.14,519.11,18343600,0.0,0.0
2025-10-10,516.37,520.28,506.42,507.74,24133800,0.0,0.0
2025-10-13,513.16,513.16,508.46,510.81,14284200,0.0,0.0
2025-10-14,507.02,512.04,502.82,510.34,14684300,0.0,0.0
2025-10-15,511.72,513.94,506.79,510.2,14694700,0.0,0.0
