# Stock data for NVDA.US from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:22:20

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,179.38,180.02,175.67,178.02,156407600,0.0,0.0
2025-08-06,176.1,179.66,176.02,179.18,137192300,0.0,0.0
2025-08-07,181.33,183.64,178.56,180.53,151878400,0.0,0.0
2025-08-08,181.31,183.06,180.16,182.46,123396700,0.0,0.0
2025-08-11,181.81,183.6,180.01,181.82,138323200,0.0,0.0
2025-08-12,182.72,184.23,179.22,182.92,145485700,0.0,0.0
2025-08-13,182.38,183.73,179.11,181.35,179871700,0.0,0.0
2025-08-14,179.51,182.78,179.22,181.78,129554000,0.0,0.0
2025-08-15,181.64,181.66,177.8,180.21,156602200,0.0,0.0
2025-08-18,180.36,182.7,180.35,181.77,132008000,0.0,0.0
2025-08-19,182.19,182.26,175.26,175.41,185229200,0.0,0.0
2025-08-20,174.94,175.77,168.58,175.17,215142700,0.0,0.0
2025-08-21,174.62,176.66,173.58,174.75,140040900,0.0,0.0
2025-08-22,172.38,178.35,170.97,177.75,172789400,0.0,0.0
2025-08-25,178.11,181.67,176.34,179.57,163012800,0.0,0.0
2025-08-26,179.82,182.15,178.57,181.53,168688200,0.0,0.0
2025-08-27,181.74,182.25,178.86,181.36,235518900,0.0,0.0
2025-08-28,180.58,184.22,176.18,179.93,281787800,0.0,0.0
2025-08-29,177.87,177.91,172.92,173.95,243257900,0.0,0.0
2025-09-02,169.77,172.15,167.0,170.55,231164900,0.0,0.0
2025-09-03,170.83,172.18,168.66,170.39,164424900,0.0,0.0
2025-09-04,170.34,171.63,169.18,171.43,141670100,0.0,0.0
2025-09-05,167.81,168.81,163.85,166.8,224441400,0.0,0.0
2025-09-08,167.33,170.73,167.13,168.09,163769100,0.0,0.0
2025-09-09,168.87,170.75,166.52,170.53,157548400,0.0,0.0
2025-09-10,176.41,179.05,175.24,177.09,226852000,0.0,0.0
2025-09-11,179.45,180.05,176.26,176.94,151159300,0.01,0.0
2025-09-12,177.54,178.37,176.23,177.59,124911000,0.0,0.0
2025-09-15,175.45,178.62,174.29,177.52,147061600,0.0,0.0
2025-09-16,176.77,177.27,174.16,174.66,140737800,0.0,0.0
2025-09-17,172.42,172.98,168.2,170.07,211843800,0.0,0.0
2025-09-18,173.76,176.87,172.74,176.02,191763300,0.0,0.0
2025-09-19,175.55,177.85,174.96,176.44,237182100,0.0,0.0
2025-09-22,175.08,184.31,174.49,183.38,269637000,0.0,0.0
2025-09-23,181.74,182.19,175.99,178.2,192559600,0.0,0.0
2025-09-24,179.54,179.55,175.18,176.74,143564100,0.0,0.0
2025-09-25,174.26,180.03,172.91,177.46,191586700,0.0,0.0
2025-09-26,177.94,179.54,174.71,177.96,148573700,0.0,0.0
2025-09-29,180.2,183.77,180.09,181.62,193063500,0.0,0.0
2025-09-30,181.85,187.11,181.25,186.34,236981000,0.0,0.0
2025-10-01,185.0,187.9,183.67,187.0,173844900,0.0,0.0
2025-10-02,189.36,190.81,187.82,188.65,136805800,0.0,0.0
2025-10-03,188.95,190.12,185.14,187.38,137596900,0.0,0.0
2025-10-06,185.26,186.99,183.1,185.3,157678100,0.0,0.0
2025-10-07,185.99,188.82,183.77,184.8,140088000,0.0,0.0
2025-10-08,186.33,189.36,186.3,188.87,130168900,0.0,0.0
2025-10-09,191.99,195.05,190.82,192.32,182997200,0.0,0.0
2025-10-10,193.26,195.37,181.82,182.93,268774400,0.0,0.0
2025-10-13,187.73,189.87,185.72,188.08,153482800,0.0,0.0
2025-10-14,184.53,184.56,179.47,179.8,205641400,0.0,0.0
2025-10-15,184.56,184.63,177.06,179.6,214450500,0.0,0.0
2025-10-16,182.0,183.05,179.54,181.58,179723300,0.0,0.0
2025-10-17,179.95,183.87,179.52,182.99,173135200,0.0,0.0
2025-10-20,182.9,184.96,181.5,182.41,128544700,0.0,0.0
2025-10-21,182.56,182.56,179.57,180.93,124240200,0.0,0.0
2025-10-22,180.91,183.21,176.53,180.05,162249600,0.0,0.0
2025-10-23,180.19,182.8,179.56,181.93,111363700,0.0,0.0
2025-10-24,183.61,187.23,183.27,186.02,131296700,0.0,0.0
2025-10-27,189.75,191.76,188.19,191.25,153452700,0.0,0.0
2025-10-28,192.8,202.89,191.67,200.77,297986200,0.0,0.0
