# Insider Transactions data for TTWO
# Data retrieved on: 2026-08-05 14:34:29

,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
0,334,84345,,Sale at price 252.53 per share.,SIMINOFF ELLEN F,Director,,2026-07-01,I
1,104,0,,Stock Award(Grant) at price 0.00 per share.,SIMINOFF ELLEN F,Director,,2026-07-01,D
2,93,0,,Stock Award(Grant) at price 0.00 per share.,VIERA PAUL E,Director,,2026-07-01,D
3,82,0,,Stock Award(Grant) at price 0.00 per share.,GORDON WILLIAM BINGHAM,Director,,2026-07-01,D
4,500,122305,,Sale at price 244.61 per share.,MOSES JON J,Director,,2026-06-22,D
5,4419,1016370,,Sale at price 230.00 per share.,EMERSON DANIEL P,Officer,,2026-06-16,D
6,4421,950515,,Sale at price 215.00 per share.,EMERSON DANIEL P,Officer,,2026-06-15,D
7,500,107608,,Sale at price 215.22 per share.,MOSES JON J,Director,,2026-06-15,D
8,8840,1891760,,Sale at price 214.00 per share.,EMERSON DANIEL P,Officer,,2026-06-08,D
9,1151,249790,,Sale at price 217.02 per share.,DORNEMANN MICHAEL,Director,,2026-06-04,D
10,249327,56228879,,Sale at price 214.99 - 231.01 per share.,SLATOFF KARL,President,,2026-06-03,D/I
11,21102,4634210,,Sale at price 219.61 per share.,EMERSON DANIEL P,Officer,,2026-06-02,D
12,373,85548,,Sale at price 229.35 per share.,SRINIVASAN LAVERNE EVANS,Director,,2026-06-01,D
13,329949,0,,Stock Award(Grant) at price 0.00 per share.,SLATOFF KARL,President,,2026-06-01,I
14,38090,0,,Stock Award(Grant) at price 0.00 per share.,EMERSON DANIEL P,Officer,,2026-06-01,D
15,131,28592,,Sale at price 218.26 per share.,SHERESKY MICHAEL J,Director,,2026-05-29,D
16,70000,15554130,,Sale at price 221.37 - 224.33 per share.,ZELNICK STRAUSS,Chief Executive Officer,,2026-05-26,I
17,20000,0,,Stock Gift at price 0.00 per share.,ZELNICK STRAUSS,Chief Executive Officer,,2026-05-26,I
18,413,85764,,Sale at price 207.66 per share.,SIMINOFF ELLEN F,Director,,2026-04-15,I
19,116,0,,Stock Award(Grant) at price 0.00 per share.,SIMINOFF ELLEN F,Director,,2026-04-01,D
20,103,0,,Stock Award(Grant) at price 0.00 per share.,VIERA PAUL E,Director,,2026-04-01,D
21,91,0,,Stock Award(Grant) at price 0.00 per share.,GORDON WILLIAM BINGHAM,Director,,2026-04-01,D
22,413,86466,,Sale at price 209.36 per share.,SIMINOFF ELLEN F,Director,,2026-03-16,I
23,2500,521725,,Sale at price 208.69 per share.,GORDON WILLIAM BINGHAM,Director,,2026-03-09,D
24,1390,296195,,Sale at price 213.09 per share.,DORNEMANN MICHAEL,Director,,2026-03-05,D
25,60000,12862211,,Sale at price 214.15 - 215.09 per share.,ZELNICK STRAUSS,Chief Executive Officer,,2026-03-03,I
26,2508,535637,,Sale at price 213.47 - 213.62 per share.,EMERSON DANIEL P,Officer,,2026-03-02,D
27,2500,522525,,Sale at price 209.01 per share.,GORDON WILLIAM BINGHAM,Director,,2026-03-02,D
28,1166,248906,,Sale at price 213.47 per share.,GOLDSTEIN LAINIE,Chief Financial Officer,,2026-03-02,D
29,155,30183,,Sale at price 194.73 per share.,SHERESKY MICHAEL J,Director,,2026-02-18,D
30,413,82600,,Sale at price 200.00 per share.,SIMINOFF ELLEN F,Director,,2026-02-18,I
31,414,101629,,Sale at price 245.48 per share.,SIMINOFF ELLEN F,Director,,2026-01-15,I
32,96,0,,Stock Award(Grant) at price 0.00 per share.,SIMINOFF ELLEN F,Director,,2025-12-31,D
33,86,0,,Stock Award(Grant) at price 0.00 per share.,VIERA PAUL E,Director,,2025-12-31,D
34,84,0,,Stock Award(Grant) at price 0.00 per share.,GORDON WILLIAM BINGHAM,Director,,2025-12-31,D
35,413,100239,,Sale at price 242.71 per share.,SIMINOFF ELLEN F,Director,,2025-12-15,I
36,1107,274658,,Sale at price 248.11 per share.,EMERSON DANIEL P,Officer,,2025-12-02,D
37,1612,399953,,Sale at price 248.11 per share.,GOLDSTEIN LAINIE,Chief Financial Officer,,2025-12-02,D
38,1350,321664,,Sale at price 238.27 per share.,SRINIVASAN LAVERNE EVANS,Director,,2025-11-18,D
39,182,42790,,Sale at price 235.11 per share.,SHERESKY MICHAEL J,Director,,2025-11-17,D
40,414,97683,,Sale at price 235.95 per share.,SIMINOFF ELLEN F,Director,,2025-11-14,I
41,411,106622,,Sale at price 259.42 per share.,SIMINOFF ELLEN F,Director,,2025-10-15,I
42,1379,0,,Stock Award(Grant) at price 0.00 per share.,SRINIVASAN LAVERNE EVANS,Director,,2025-10-01,D
43,967,0,,Stock Award(Grant) at price 0.00 per share.,TOLSON SUSAN,Director,,2025-10-01,D
44,967,0,,Stock Award(Grant) at price 0.00 per share.,SHERESKY MICHAEL J,Director,,2025-10-01,D
45,967,0,,Stock Award(Grant) at price 0.00 per share.,MOSES JON J,Director,,2025-10-01,D
46,1064,0,,Stock Award(Grant) at price 0.00 per share.,SIMINOFF ELLEN F,Director,,2025-10-01,D
47,967,0,,Stock Award(Grant) at price 0.00 per share.,DORNEMANN MICHAEL,Director,,2025-10-01,D
48,1054,0,,Stock Award(Grant) at price 0.00 per share.,VIERA PAUL E,Director,,2025-10-01,D
49,967,0,,Stock Award(Grant) at price 0.00 per share.,HERNANDEZ ROLAND A,Director,,2025-10-01,D
50,1033,0,,Stock Award(Grant) at price 0.00 per share.,GORDON WILLIAM BINGHAM,Director,,2025-10-01,D
51,414,101948,,Sale at price 246.25 per share.,SIMINOFF ELLEN F,Director,,2025-09-15,I
52,10000,2500000,,Sale at price 250.00 per share.,GOLDSTEIN LAINIE,Chief Financial Officer,,2025-09-08,D
53,1000,239570,,Sale at price 239.57 per share.,MOSES JON J,Director,,2025-09-04,D
54,1986,474110,,Sale at price 236.83 - 241.00 per share.,EMERSON DANIEL P,Officer,,2025-09-03,D
55,11579,2773955,,Sale at price 236.83 - 240.00 per share.,GOLDSTEIN LAINIE,Chief Financial Officer,,2025-09-02,D
