# Stock data for TTWO (from TTWO.US) from 2025-08-05 to 2026-08-05
# Total records: 251
# Data retrieved on: 2026-08-05 14:34:26

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-05,226.18,227.99,225.41,225.92,1398000,0.0,0.0
2025-08-06,226.66,227.67,224.0,227.21,1544400,0.0,0.0
2025-08-07,227.75,228.51,222.38,226.49,2267100,0.0,0.0
2025-08-08,237.52,239.14,216.34,217.37,5619200,0.0,0.0
2025-08-11,219.36,226.57,218.4,222.67,3191100,0.0,0.0
2025-08-12,224.44,232.78,224.2,232.56,2440000,0.0,0.0
2025-08-13,233.29,236.24,230.7,236.14,2105700,0.0,0.0
2025-08-14,235.3,238.39,232.2,233.16,1688700,0.0,0.0
2025-08-15,233.65,233.65,229.59,232.18,1376600,0.0,0.0
2025-08-18,233.47,235.6,231.52,232.55,1428600,0.0,0.0
2025-08-19,232.1,232.45,227.75,228.36,1366200,0.0,0.0
2025-08-20,227.38,229.45,225.54,228.67,1327300,0.0,0.0
2025-08-21,227.47,228.79,226.28,227.87,950500,0.0,0.0
2025-08-22,228.67,230.07,226.75,229.03,1089300,0.0,0.0
2025-08-25,228.67,232.99,228.5,231.83,1187900,0.0,0.0
2025-08-26,231.36,233.55,230.33,230.82,2165300,0.0,0.0
2025-08-27,230.52,232.34,228.75,232.03,1030000,0.0,0.0
2025-08-28,230.64,235.03,230.64,234.9,1127100,0.0,0.0
2025-08-29,234.28,235.99,232.61,233.27,989000,0.0,0.0
2025-09-02,231.16,241.08,229.33,240.95,1860300,0.0,0.0
2025-09-03,241.0,242.3,237.03,238.86,1208700,0.0,0.0
2025-09-04,238.53,240.84,237.37,240.65,915400,0.0,0.0
2025-09-05,242.0,242.69,236.94,239.68,979400,0.0,0.0
2025-09-08,241.78,250.45,241.4,248.78,2214500,0.0,0.0
2025-09-09,249.28,250.0,247.27,247.86,997500,0.0,0.0
2025-09-10,248.58,248.58,243.46,244.04,1116400,0.0,0.0
2025-09-11,246.07,248.0,244.89,246.54,976800,0.0,0.0
2025-09-12,245.97,248.3,244.03,246.26,1001700,0.0,0.0
2025-09-15,246.25,250.25,245.92,247.25,1333400,0.0,0.0
2025-09-16,247.54,250.96,246.72,247.73,1764100,0.0,0.0
2025-09-17,248.0,251.2,245.7,250.52,1690900,0.0,0.0
2025-09-18,251.09,252.61,249.11,249.74,2167000,0.0,0.0
2025-09-19,251.96,252.4,247.81,250.85,3620100,0.0,0.0
2025-09-22,249.39,255.33,249.39,251.64,1609300,0.0,0.0
2025-09-23,251.64,254.12,250.84,251.28,1572700,0.0,0.0
2025-09-24,253.06,253.06,239.46,244.12,2075900,0.0,0.0
2025-09-25,244.09,246.13,242.62,245.11,1188900,0.0,0.0
2025-09-26,246.32,258.1,245.49,256.12,3480600,0.0,0.0
2025-09-29,257.57,261.47,254.55,259.96,2670900,0.0,0.0
2025-09-30,259.7,261.15,256.16,258.36,1986500,0.0,0.0
2025-10-01,256.69,258.42,253.2,255.4,1626100,0.0,0.0
2025-10-02,255.4,257.33,252.55,256.94,1366000,0.0,0.0
2025-10-03,256.67,261.09,255.51,257.68,1728200,0.0,0.0
2025-10-06,258.65,259.96,256.1,256.98,1399800,0.0,0.0
2025-10-07,257.5,261.09,257.5,260.5,1383200,0.0,0.0
2025-10-08,261.11,262.19,255.57,258.07,1332900,0.0,0.0
2025-10-09,259.34,259.38,255.86,256.69,923300,0.0,0.0
2025-10-10,256.09,258.14,250.95,251.97,1350300,0.0,0.0
2025-10-13,253.3,257.42,251.5,256.68,931200,0.0,0.0
2025-10-14,256.99,260.73,254.55,257.72,900000,0.0,0.0
2025-10-15,259.42,264.79,259.38,261.5,1325300,0.0,0.0
2025-10-16,262.72,264.34,257.54,259.23,1327000,0.0,0.0
2025-10-17,259.23,263.0,258.22,261.35,1001800,0.0,0.0
2025-10-20,262.22,262.95,260.37,262.29,1340100,0.0,0.0
